SRR          CE              FP               GO              IOGA  NP  OA
SRR1945698:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945699:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945700:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945701:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945702:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945703:  ERROR           ERROR            ERROR           -     -   -
SRR1945704:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945705:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945706:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945707:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945708:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945709:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945711:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945712:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945713:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945715:  ERROR           INCOMPLETE_low   -               -     -   -
SRR1945716:  PARTIAL         INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945717:  INCOMPLETE_low  ERROR            ERROR           -     -   -
SRR1945719:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945720:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945721:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945722:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945723:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945724:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945725:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945726:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945727:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945728:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945729:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945730:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945731:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945732:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945734:  INCOMPLETE_low  ERROR            INCOMPLETE_low  -     -   -
SRR1945735:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945736:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945738:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945739:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945740:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945741:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945742:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945743:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945744:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945745:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945746:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945747:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945748:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945749:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945750:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945751:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945753:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945754:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945755:  SUCCESS         INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945757:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945758:  SUCCESS         SUCCESS          -               -     -   -
SRR1945759:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945760:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945761:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945762:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945763:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945764:  SUCCESS         SUCCESS          -               -     -   -
SRR1945765:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945766:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945767:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945768:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945769:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945770:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945772:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945773:  SUCCESS         SUCCESS          -               -     -   -
SRR1945774:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945776:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945777:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945778:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945780:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945782:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945783:  SUCCESS         SUCCESS          -               -     -   -
SRR1945784:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945786:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945787:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945788:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945790:  SUCCESS         INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945791:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945792:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945793:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945794:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945795:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945796:  SUCCESS         SUCCESS          -               -     -   -
SRR1945797:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945798:  ERROR           ERROR            ERROR           -     -   -
SRR1945799:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945800:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945801:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945802:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945803:  INCOMPLETE_low  ERROR            INCOMPLETE_low  -     -   -
